CODIGO,DETALLE,PRECIO
2531073000003,JAMON PAVO ACARAM. LP KG,3499
2531075000001,QUESO GAUDA BARRA ARG FRUTILLAR KG,2590
2531082000001,QUESO GAUDA HOLANDES KG,2290
2531088000005,SALCHICHON CERVECERO RDA KG,2399
2531121000009,JAMON PLANCHADO SJ KG,2499
2531124000006,JAMON ARTESANAL G2 PF EB,2499
2531143000001,LONGANIZA CHILLAN AHUMADA KILO,2749
2531188000004,PECHUGA PAVO ASADA ARIZTIA KG 40036BF,3499
2531236000000,PECHUGA POLLO COCIDA H9 PF,2699
2531238000008,PECHUGA POLLO ASADA PF KG,2699
2531239000007,PECHUGA POLLO AHUM. TL PF KG,1899
2531351000008,JAMONADA MONTINA KG 5371AF,1499
2531361000005,ARROLLADO HUASO CON AJI LC KG,9996
2531427000000,TOCINO MONTS KG,10760
2531454000004,PECHUGA PAVO COC.ARIZTIA 40303BF,3499
2531488000001,ARROLLADO LOMO AR PF KILO,2399
2531496000000,JAMON SANDWICH JW PF KILO,1999
2531853000001,JAMON EXTRA ACARAM. G1 LA ALEMANA KG,2499
2531965000005,JAMON PIERNA ARTESANAL WINTER KG,2499
2532005000009,SALAME AHUMADO CORT. SJ KG,3990
2532052000007,FIAMBRE JAMON SANDWICH SJ KG,1799
2532063000003,JAMON PIERNA G2 JP PF KILO,9996
2532068000008,JAMON PIERNA ACARAM. G1 WINTERKG,2999
2532088000002,MORTAD. FINA PF,1249
2532096000001,MORTAD. LISA SJ KG,1299
2532125000002,SALCHICHON CERV. WINTER KG,1749
2532171000001,ARROLLADO HUASO CON AJI SJ KG,2399
2532172000000,ARROLLADO LOMO CAJI SJ KG,2399
2532174000008,JAMONADA SJ KG,1799
2532312000006,PECHUGA COCIDA SOPRAVAL KG,12996
2532324000001,ARROLLADO LOMO KG SN PABLO,250000000
2532325000000,JAMON PIERNA ACARAM. G1 KG BUDAPEST,250000000
2532415000002,PECHUGA PAVO AHUM.ARIZTIA KG 8011BF,3499
2532643000003,SALAME ITALIANO CORT. SAN JORGE KG,3990
2532655000008,PATA RELLENA SAN PABLO KL,1749
2532660000000,SALAME AHUMADO CORTE PF 3F,3499
2532661000009,SALAME ITALIANO CORTPF 3E,3499
2532669000001,JAMON COLONIAL SJ KG,3249
2532671000006,JAMON ACARAMELADO SJ KG,3249
2532676000001,JAMONADA DE AVE SJ KG,1749
2532701000006,PECHUGA PAVO BUDAPEST AHUMADA KG,2749
2532890000009,JAMON COLONIAL G1 PF KG,2999
2533011000007,QUESO MANT. RIO CRUCES VALDIVIA PIEZAKG,3290
2533032000000,QUESO MANTECOSO QUILQUE PIEZA 8 KG,2190
2533049000000,QUESO GAUDA DOS ALAMOS PIEZA KG,2249
2533085000002,QUESO MANTECOSO ARQUENCO KG,2690
2533105000005,QUESO MANTECOSO LAM. RAFULCO KG,9560
2533133000008,QUESO RANCO PIEZA COLUN KG,2390
2533201000008,QUESO EDAM VEGA DE ORO KG,1490
2533210000006,QUESO GAUDA VEGA DE ORO KG,1349
2533212000004,QUESO GAUDA ASTURIANA KG,9560
2533310000005,QUESO EDAM HOLANDES GALLERY KG,9960
2533313000002,QUESO CABRA HOLANDES GALLERY KG,3990
2533315000000,QUESO CHEDDAR HOLANDES GALLERY KG,1790
2533317000008,QUESO EMMENTAL HOLANDES GALLER-,1890
2533485000008,QUESO GAUDA SOPROLE KG,7960
2534011000004,QUESO MANTECOSO LAS PARCELAS DE VALDIVIA KG,3190
2534328000001,QUESO GAUDA CALO LAM. KG,11960
2534445000007,JAMON PAVO COCIDO LP KG,3499
2534446000006,ARROLLADO HUASO PF GA KG,2349
2534481000009,JAMONADA SN PABLO KG,250000000
2534483000007,LISA SAN PABLO KG,250000000
2534486000004,FIAMBRE JAMON SANDWICH SN PABLO KG,250000000
2534489000001,COPA SAN PABLO KG,1749
2534492000005,CERVECERO SN PABLO KG,999999999
2534505000008,JAMON PIERNA ACAR. G1 JG PF KILO,3099
2534506000007,JAMON PAVO ACAR.SOPRAVAL KG,14996
2534510000000,PECHUGA PAVO BUDAPEST ASADA KG,2749
2534520000007,PECHUGA PAVO BUDAPEST COCIDA KG,250000000
2535541000007,JAMON COLONIAL SUPER CERDO KG,2099
2535542000006,JAMON ACARAMELA SUPER CERDO KG,2199
2536162000001,CERVECERO ESPECIAL BUDAPEST KG,1749
2536262000000,JAMONADA POLLO KG SAN PABLO,1749
2536265000007,JAMON COCIDO SADIA KG,1999
2536364000007,JAMON SANDIWCH DE PAVO BUDAPEST KG,2499
2536365000006,JAMON SANDWICH PAVO AHUMADO 3.6 KG,1799
2536435000004,JAMON PIERNA BUDAPEST KG,2699
2538989000004,QUESO DE CABEZA DON RODRIGO,1499
2541003000003,AJI ROCOTO KG,4760
2541020000000,ESPARRAGOS KG FFVV,3990
2541021000009,MOTE KG,1290
2541030000007,PAPA KG,790
2541031000006,AJI VERDE KG,3160
2541036000001,PAPA LOS ANGELES KG,0
2541039000008,ZAPALLO CAMOTE KG,790
2541042000002,ZANAHORIA KG,690
2541051000000,PAPA LAVADA KG,890
2541054000007,CEBOLLA ARICA BLANCA KG,590
2541055000006,BRUSELAS KG,2590
2541065000003,ZAPALLO JAMBOREE KG,690
2541075000000,AJO NUEVO KG,3160
2541076000009,AJO KG,4760
2541076000009,AJO KG,2996
2541079000006,CEBOLLA BLANCA CRISTAL KG,790
2541080000002,CEBOLLA CUGAT PP KG,690
2541110000002,AJI COLOR KILO FFYVV,7160
2541112000000,COMINO ENTERO KG FFVV,19160
2541124000005,AJI INFIERNO KG,5560
2541211000000,UVA RED GLOBE KG,1190
2541826000006,TOMATE CHERRY KG FFVV,4760
2542002000001,ALMENDRAS LAMINADA KILO,14990
2542004000009,FRUTILLA KG FFVV,2290
2542006000007,CEREZAS KILO,1290
2542010000000,KIWI KG,1190
2542011000009,LIMON KG,1490
2542012000008,NECTARIN PLATANO KG,990
2542013000007,MANZANA ROJA KG,990
2542015000005,MANZANA VERDE KG,990
2542017000003,DAMASCO KG,1590
2542018000002,NECTARIN AMARILLO KG,1290
2542022000005,NUECES KG FFVV,14760
2542025000002,POMELO KG,890
2542029000008,PALTA FUERTE KG,3490
2542031000003,PLATANO KG,1690
2542031000003,PLATANO KG,0
2542033000001,CIRUELA KG,690
2542038000006,UVA VERDE KG,1590
2542041000000,TOMATE LARGA VIDA KG,1490
2542044000007,MEMBRILLO KG,990
2542045000006,PERA PACKHAM KG,890
2542066000009,MANZANA ROYAL GALA KG,990
2542067000008,MANZANA FUJI KG,990
2542074000008,MANZANA CRISS PINK EXPORTACION KILO,1490
2542075000007,PERA FORELLE KG,890
2542076000006,TOMATE L. VIDA SEGUNDA KG,890
2542081000008,PERA ASIATICA KG,990
2542082000007,PERA BERRY BOSC,890
2542090000006,NARANJA KG,1290
2542093000003,MANZANA PREMIUM KILO,790
2542094000002,TOMATE L. VIDA LIMACHE KG,1890
2542102000000,MANGOS KG,672
2542118000001,CLEMENTINA MANDARINA KG,1590
2542155000002,PALTA HASS EXTRA KG,4990
2542158000009,MANZANA CRISS PINK KG,990
2542260000003,PERA ABATE FETEL KG,790
2542601000006,PLATANO TALCA KG,0
2543202000006,NECTARIN PLATANO OFERTA,1490
2543237000002,UVA ROSADA KG,1190
2543501000004,PALTA HASS PERUANA KG,2990
2544589000009,PALTA HASS KG,5690
2545142000009,CEBOLLA MORADA KG,790
